ent,sex,year,mes,saltrim
Yucatán,Hombre,2005,12,27976.057
Zacatecas,Hombre,2005,12,30534.027
Aguascalientes,Hombre,2006,3,30898.588
Baja California,Hombre,2006,3,42964.871
Baja California Sur,Hombre,2006,3,39210.703
Campeche,Hombre,2006,3,28359.816
Coahuila de Zaragoza,Hombre,2006,3,33796.441
Colima,Hombre,2006,3,36129.258
Chiapas,Hombre,2006,3,24270.105
Chihuahua,Hombre,2006,3,35150.316
Ciudad de México,Hombre,2006,3,38561.207
Durango,Hombre,2006,3,28809.189
Guanajuato,Hombre,2006,3,31507.818
Guerrero,Hombre,2006,3,27887.322
Hidalgo,Hombre,2006,3,31555.41
Jalisco,Hombre,2006,3,38865.727
México,Hombre,2006,3,30504.898
Michoacán de Ocampo,Hombre,2006,3,31929.584
Morelos,Hombre,2006,3,27679.619
Nayarit,Hombre,2006,3,31505.225
Nuevo León,Hombre,2006,3,42302.988
Oaxaca,Hombre,2006,3,28588.223
Puebla,Hombre,2006,3,28921.895
Querétaro,Hombre,2006,3,36675.086
Quintana Roo,Hombre,2006,3,40856.035
San Luis Potosí,Hombre,2006,3,32886.867
Sinaloa,Hombre,2006,3,38338.594
Sonora,Hombre,2006,3,38197.891
Tabasco,Hombre,2006,3,41695.566
Tamaulipas,Hombre,2006,3,34755.934
Tlaxcala,Hombre,2006,3,24091.135
Veracruz de Ignacio de la Llave,Hombre,2006,3,30599.893
Yucatán,Hombre,2006,3,28625.354
Zacatecas,Hombre,2006,3,33107.676
Aguascalientes,Hombre,2006,6,33480.625
Baja California,Hombre,2006,6,45465.23
Baja California Sur,Hombre,2006,6,42377.672
Campeche,Hombre,2006,6,29345.586
Coahuila de Zaragoza,Hombre,2006,6,35847.68
Colima,Hombre,2006,6,35508.926
Chiapas,Hombre,2006,6,23914.225
Chihuahua,Hombre,2006,6,36230.633
Ciudad de México,Hombre,2006,6,39501.164
Durango,Hombre,2006,6,29073.768
Guanajuato,Hombre,2006,6,31600.285
Guerrero,Hombre,2006,6,28788.441
Hidalgo,Hombre,2006,6,32274.139
Jalisco,Hombre,2006,6,39002.371
México,Hombre,2006,6,30699.553
Michoacán de Ocampo,Hombre,2006,6,33863.895
Morelos,Hombre,2006,6,28460.727
Nayarit,Hombre,2006,6,31795.424
Nuevo León,Hombre,2006,6,43013.156
Oaxaca,Hombre,2006,6,29629.338
Puebla,Hombre,2006,6,28962.918
Querétaro,Hombre,2006,6,37128.297
Quintana Roo,Hombre,2006,6,39950.742
San Luis Potosí,Hombre,2006,6,32906.547
Sinaloa,Hombre,2006,6,40809.957
Sonora,Hombre,2006,6,38619.047
Tabasco,Hombre,2006,6,37869.477
Tamaulipas,Hombre,2006,6,36862.672
Tlaxcala,Hombre,2006,6,23014.52
Veracruz de Ignacio de la Llave,Hombre,2006,6,31781.436
Yucatán,Hombre,2006,6,27441.639
Zacatecas,Hombre,2006,6,32655.658
Aguascalientes,Hombre,2006,9,32074.887
Baja California,Hombre,2006,9,42968.195
Baja California Sur,Hombre,2006,9,41366.453
Campeche,Hombre,2006,9,28734.537
Coahuila de Zaragoza,Hombre,2006,9,36711.977
Colima,Hombre,2006,9,35686.887
Chiapas,Hombre,2006,9,24319.432
Chihuahua,Hombre,2006,9,35700.875
Ciudad de México,Hombre,2006,9,39537.32
Durango,Hombre,2006,9,28625.822
Guanajuato,Hombre,2006,9,31932.043
Guerrero,Hombre,2006,9,28170.969
Hidalgo,Hombre,2006,9,33670.227
Jalisco,Hombre,2006,9,38044.633
México,Hombre,2006,9,32600.439
Michoacán de Ocampo,Hombre,2006,9,32916.434
Morelos,Hombre,2006,9,28646.83
Nayarit,Hombre,2006,9,32691.906
Nuevo León,Hombre,2006,9,43261.688
Oaxaca,Hombre,2006,9,29102.744
Puebla,Hombre,2006,9,29205.9
Querétaro,Hombre,2006,9,37134.02
Quintana Roo,Hombre,2006,9,43208.723
San Luis Potosí,Hombre,2006,9,33675.488
Sinaloa,Hombre,2006,9,38857.695
Sonora,Hombre,2006,9,39807.168
Tabasco,Hombre,2006,9,43026.398
Tamaulipas,Hombre,2006,9,36315.07
Tlaxcala,Hombre,2006,9,23034.912
Veracruz de Ignacio de la Llave,Hombre,2006,9,31928.852
Yucatán,Hombre,2006,9,30634.025
Zacatecas,Hombre,2006,9,33365.738
Aguascalientes,Hombre,2006,12,31280.887
Baja California,Hombre,2006,12,41517.934
Baja California Sur,Hombre,2006,12,43280.629
Campeche,Hombre,2006,12,27498.037
Coahuila de Zaragoza,Hombre,2006,12,34792.984
Colima,Hombre,2006,12,36346.602
Chiapas,Hombre,2006,12,23821.74
Chihuahua,Hombre,2006,12,36355.199
Ciudad de México,Hombre,2006,12,39112.965
Durango,Hombre,2006,12,27861.043
Guanajuato,Hombre,2006,12,31953.029
Guerrero,Hombre,2006,12,28589.543
Hidalgo,Hombre,2006,12,34028.801
Jalisco,Hombre,2006,12,37227.48
México,Hombre,2006,12,29557.607
Michoacán de Ocampo,Hombre,2006,12,33085.918
Morelos,Hombre,2006,12,28780.117
Nayarit,Hombre,2006,12,31785.559
